"ID"	"Gender"	"Age"	"Org_type"	"Role"	"info_work"	"info_org"	"info_vision"	"info_change"	"info_intracomm"	"info_mgmttrust"	"info_mgmttocow"	"info_cowtomgmt"	"org_openmind"	"org_intracommtrust"	"org_participation"	"org_gossip"	"org_discuss_mediaimage"	"org_discuss_news"	"org_discuss_meetings"	"org_email"	"org_discuss_socmedia"	"org_discuss_consumer"	"cow_com_dialogue"	"cow_com_criticism"	"cow_com_feedback"	"cow_com_checkinfo"	"cow_com_speakwell"	"rarversioncow_com_responsibility"	"extcomm"	"femcomm_performance"	"femcomm_mgmt"	"femcomm_opportunity"	"femcomm_support"	"femcomm_barriers"	"publicimage_competence"	"publicImage_responsibility"	"publicImage_openess"	"publicImage_efficiency"	"publicImage_credibility"	"publicImage_visibility"	"stakeholderimage_competence"	"stakeholderimage_responsibility"	"stakeholmderimage_openess"	"stakeholderimage_efficiency"	"stakeholderimage_credibility"	"stakeholderimage_visibility"	"mediaimage_correct"	"mediaimage_fair"	"mediaimage_nuance"	"socialmediaimage_correct"	"socialmediaimage_fair"	"socialmediaimage_nuance"	"mediaimage_feeling"	"mediaimage_workeffect"	"mediaimage_importance"	"mediaimage_reactions"	"mediaimage_fakenews"
44	2	1953	2	2	4	4	4	4	4	4	NA	NA	4	4	5	NA	4	4	4	4	NA	4	5	4	5	4	4	4	4	NA	NA	NA	NA	NA	5	4	4	3	4	4	5	4	4	4	NA	5	NA	4	4	NA	NA	NA	3	3	4	4	5
45	2	1966	2	1	4	4	2	2	3	5	4	2	4	5	5	5	4	5	4	1	1	5	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	5	2	1	5	2	5	5	3	2	5	4	4	4	2	NA	NA	NA	4	4	4	4	5
46	2	1969	2	3	4	4	2	3	4	4	1	1	5	5	4	1	3	3	4	1	2	3	5	4	5	5	5	5	5	1	1	1	1	1	4	4	4	4	4	4	4	4	4	4	4	4	5	5	4	4	4	3	4	3	3	3	3
47	2	1969	2	2	3	4	4	3	3	NA	NA	NA	1	4	4	3	4	5	4	3	2	5	4	4	4	5	4	3	4	NA	NA	NA	NA	NA	4	3	2	2	2	5	5	4	3	2	4	4	4	3	2	NA	NA	NA	3	2	5	4	4
48	1	1981	2	2	4	4	2	2	2	3	3	2	2	3	3	4	2	2	4	4	3	5	4	4	3	2	5	5	4	NA	NA	NA	NA	NA	4	4	3	NA	3	5	4	4	4	5	5	5	NA	NA	NA	NA	NA	NA	4	3	4	3	5
49	2	1956	2	1	4	4	5	4	3	4	2	2	4	4	4	3	3	3	3	2	4	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	4	2	4	4	3	5	4	2	4	4	3	4	4	3	5	4	4	4	3	5	2	4
50	1	1972	2	2	5	4	5	5	4	5	1	1	5	5	5	1	5	5	5	5	5	5	5	5	4	5	5	5	5	NA	NA	NA	NA	NA	4	4	4	4	NA	2	5	5	5	5	5	5	4	4	4	NA	NA	NA	2	3	4	2	4
51	2	1964	2	1	5	4	4	5	4	5	2	2	4	5	4	4	4	4	4	3	3	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	4	5	5	5	5	5	5	4	5	5	5	5	4	4	3	4	3	3	4	4	4
52	1	1982	2	2	2	2	2	2	1	2	4	3	4	1	5	3	4	4	3	2	2	4	4	4	4	4	4	3	3	NA	NA	NA	NA	NA	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	NA	NA	NA	2	2	2	2	5
53	1	1973	2	2	4	5	5	5	4	5	1	1	4	5	5	1	4	4	2	5	5	5	5	5	2	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	NA	NA	NA	NA	2	4	4	5
54	2	1957	2	2	4	4	4	4	2	3	2	2	3	4	4	3	4	4	4	4	1	2	5	5	5	4	3	2	4	NA	NA	NA	NA	NA	5	4	5	4	5	5	NA	NA	NA	NA	NA	NA	4	5	5	NA	NA	NA	3	3	3	4	4
55	1	1971	2	2	4	5	2	5	2	5	NA	3	3	5	4	3	5	5	3	3	3	4	4	4	5	5	5	3	4	NA	NA	NA	NA	NA	5	5	1	1	5	4	5	5	2	2	5	4	4	4	4	4	4	4	4	3	3	2	5
56	2	1966	2	1	2	4	4	3	3	4	2	2	4	4	5	5	4	4	3	1	3	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	3	2	4	4	5	5	4	2	4	4	4	4	2	4	3	2	3	2	3	4	5
57	2	1970	2	1	4	3	4	4	1	4	2	3	4	4	3	2	4	4	5	1	2	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	3	1	2	3	3	3	2	2	4	4	4	4	3	NA	NA	2	4	3	4	3	4
58	2	1953	2	2	4	3	4	4	4	4	NA	NA	4	5	4	4	4	4	4	3	2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	3	2	4	2	4	5	5	4	5	4	4	4	4	NA	NA	NA	4	3	4	4	4
59	2	1976	2	3	2	2	2	2	1	4	3	2	4	5	3	5	4	4	1	1	2	2	5	5	4	4	4	3	2	2	4	2	2	4	4	5	4	1	4	2	4	5	4	1	4	3	2	2	2	2	2	2	2	2	4	4	4
60	1	1970	2	1	5	2	5	4	2	4	2	NA	3	4	3	2	5	3	3	2	4	3	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	5	2	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	3	5	2	5
61	2	1963	2	1	4	4	4	4	4	4	3	2	4	4	5	3	3	5	3	2	2	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	4	3	4	3	4	5	5	4	5	5	5	4	4	4	NA	NA	NA	3	3	5	4	5
62	2	1969	2	1	4	4	4	4	2	4	2	2	4	5	4	4	4	4	3	2	2	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	2	2	4	3	5	5	4	2	4	4	4	3	3	2	2	2	3	3	3	4	5
63	2	1963	2	1	4	4	3	4	2	5	3	2	4	4	3	3	4	4	2	3	3	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	5	5	4	4	5	5	5	5	3	4	5	5	4	4	4	NA	NA	NA	4	3	4	2	5
64	1	1979	2	2	5	4	4	5	3	2	NA	3	3	4	3	3	3	4	2	3	4	2	4	4	4	5	5	5	3	NA	NA	NA	NA	NA	5	5	5	4	3	4	4	5	5	2	5	5	3	3	3	2	3	2	4	3	3	5	5
65	2	1971	2	2	5	5	5	5	4	5	NA	NA	4	5	5	3	5	5	5	5	3	4	4	5	5	NA	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	5	5	5	NA	3
66	2	1962	2	2	5	2	2	2	2	1	NA	NA	1	3	4	4	1	1	2	3	1	1	5	5	4	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
67	1	1979	2	2	4	2	3	3	1	2	4	3	3	5	4	3	2	2	2	2	2	4	4	5	5	4	4	3	5	NA	NA	NA	NA	NA	4	NA	4	4	4	4	4	4	4	4	4	4	5	5	3	5	4	NA	4	4	4	2	3
68	2	1978	2	2	4	5	4	4	NA	NA	NA	NA	NA	5	5	1	4	4	NA	5	3	5	4	5	5	5	5	4	5	NA	NA	NA	NA	NA	5	4	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	NA	3	3	3	2	3
