"ID"	"VAR00"	"VAR01_1_1"	"VAR01_2_1"	"VAR01_3_1"	"VAR01_4_1"	"VAR01_5_1"	"VAR01_6_1"	"VAR01_7_1"	"VAR02_1"	"VAR02_2"	"VAR02_3"	"VAR02_4"	"VAR02_5"	"VAR02_6"	"VAR02_7"	"VAR02_8"	"VAR03"	"VAR04_1_1"	"VAR04_2_1"	"VAR04_3_1"	"VAR04_4_1"	"VAR04_5_1"	"VAR04_6_1"	"VAR04_7_1"	"VAR05_1"	"VAR05_2"	"VAR05_3"	"VAR05_4"	"VAR05_5"	"VAR05_6"	"VAR05_7"	"VAR05_8"	"VAR06"	"VAR07_1_1"	"VAR07_2_1"	"VAR07_3_1"	"VAR07_4_1"	"VAR07_5_1"	"VAR07_6_1"	"VAR07_7_1"	"VAR08_1"	"VAR08_2"	"VAR08_3"	"VAR08_4"	"VAR08_5"	"VAR08_6"	"VAR08_7"	"VAR08_8"	"VAR09"	"VAR10_1_1"	"VAR10_2_1"	"VAR10_3_1"	"VAR10_4_1"	"VAR10_5_1"	"VAR10_6_1"	"VAR10_7_1"	"VAR11_1"	"VAR11_2"	"VAR11_3"	"VAR11_4"	"VAR11_5"	"VAR11_6"	"VAR11_7"	"VAR11_8"	"VAR12"	"VAR13_1_1"	"VAR13_2_1"	"VAR13_3_1"	"VAR13_4_1"	"VAR13_5_1"	"VAR13_6_1"	"VAR13_7_1"	"VAR14_1"	"VAR14_2"	"VAR14_3"	"VAR14_4"	"VAR14_5"	"VAR14_6"	"VAR14_7"	"VAR14_8"	"VAR15_1"	"VAR15_2"	"VAR15_3"	"VAR15_4"	"VAR15_5"	"VAR16"	"VAR17"	"VAR18"	"VAR19_1"	"VAR19_2"	"VAR19_3"	"VAR19_4"	"VAR19_5"	"VAR20"	"VAR21"	"VAR22"	"VAR23"	"VAR24"
11	1	40	30	7	3	10	10	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	40	5	1	10	4	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	40	3	0	10	5	2	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	40	5	1	10	4	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	40	5	1	10	4	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	1	2	2	2	3	4	4	2	1	1	1	2	1	4	4	1	4
12	1	20	10	35	10	10	10	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	30	10	25	10	15	5	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	30	10	25	5	15	10	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	10	5	5	30	10	0	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	20	5	0	30	5	0	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	2	2	3	3	5	5	5	1	1	2	2	2	2	4	4	1	3
13	1	50	10	15	0	10	15	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	40	20	15	NA	10	15	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	45	20	10	NA	15	10	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	45	15	10	NA	20	10	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	45	20	10	NA	15	10	NA	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	1	1	1	1	4	5	4	2	2	2	1	2	1	3	5	2	4
14	1	30	10	15	15	10	10	10	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	40	5	20	15	10	10	NA	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	2	2	2	5	5	5	2	2	2	1	2	2	3	5	1	2
15	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	20	20	30	0	20	5	5	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	1	40	20	10	NA	20	NA	10	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	999	999	2	2	999	3	5	3	2	1	2	2	2	2	3	5	2	4
16	1	25	25	10	10	10	10	10	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	25	25	10	10	10	10	10	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	50	10	10	5	15	5	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	50	5	5	5	25	5	5	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	50	20	10	5	10	5	NA	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	2	2	2	2	5	5	5	1	1	2	1	1	2	3	2	1	3
17	1	25	5	25	5	15	10	15	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	25	5	20	10	15	10	15	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	999	999	999	4	5	5	1	1	1	1	1	3	4	4	1	4
18	1	25	25	10	NA	10	10	20	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	25	25	10	NA	20	NA	20	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	2	999	999	999	5	5	5	1	1	2	1	1	2	4	5	1	2
19	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	50	NA	10	NA	20	10	10	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	1	50	10	10	NA	20	NA	10	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	1	50	10	10	NA	20	NA	10	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	1	60	NA	NA	NA	30	NA	10	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	1	1	1	1	1	4	5	2	2	1	2	2	2	1	4	4	2	2
20	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	2	NA	NA	NA	NA	NA	NA	NA	"999"	"999"	"999"	"999"	"999"	"999"	"999"	"999"	1	50	5	10	10	20	5	NA	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	1	50	5	10	10	20	5	NA	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	1	40	5	10	10	30	5	NA	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	999	999	2	2	2	3	4	3	2	1	2	2	2	3	3	4	1	4
